response,token,correct,contrast,vib_style,placement,pID
save,safe,0,vf,ctrl,neck,23
deem,deem,1,Vhl,amp,neck,23
vent,vent,1,vs,amp,neck,23
laze,laze,1,vf,lowfi,neck,23
ass,ass,1,vf,amp,neck,23
fred,fret,0,vs,ctrl,neck,23
at,at,1,vs,lowfi,neck,23
race,race,1,vf,lowfi,neck,23
face,phase,0,vf,ctrl,neck,23
bin,bun,0,Vhl,amp,neck,23
calf,calf,1,vf,ctrl,neck,23
gat,cat,0,vs,amp,neck,23
divine,divine,1,vf,ctrl,neck,23
pens,pence,0,vf,amp,neck,23
wank,wink,0,Vhl,ctrl,neck,23
pay,bay,0,vs,ctrl,neck,23
class,glass,0,vs,ctrl,neck,23
cot,cod,0,vs,lowfi,neck,23
woos,woos,1,Vhl,amp,neck,23
zinc,zinc,1,vf,amp,neck,23
jack,jack,1,vf,lowfi,neck,23
loose,loose,1,Vhl,lowfi,neck,23
Kay,gay,0,vs,lowfi,neck,23
bought,bawd,0,vs,lowfi,neck,23
heel,heel,1,Vhl,lowfi,neck,23
peace,pus,0,Vhl,ctrl,neck,23
batch,batch,1,vf,amp,neck,23
van,fan,0,vf,amp,neck,23
chick,chick,1,Vhl,amp,neck,23
fart,fart,1,Vhl,ctrl,neck,23
mean,man,0,Vhl,ctrl,neck,23
baste,paste,0,vs,ctrl,neck,23
chest,jest,0,vf,lowfi,neck,23
shard,shard,1,Vhl,amp,neck,23
khaki,cookie,0,Vhl,amp,neck,23
focal,vocal,0,vf,lowfi,neck,23
bead,bead,1,Vhl,ctrl,neck,23
bard,Bart,0,vs,amp,neck,23
tense,tens,0,vf,amp,neck,23
dad,dad,1,Vhl,lowfi,neck,23
trill,trill,1,vs,amp,neck,23
pack,pack,1,vs,lowfi,neck,23
wafer,wafer,1,vf,lowfi,neck,23
shelf,shelf,1,vf,amp,neck,23
graph,grave,0,vf,ctrl,neck,23
beef,buff,0,Vhl,amp,neck,23
pat,pat,1,vs,ctrl,neck,23
miss,miss,1,Vhl,amp,neck,23
bat,bat,1,vs,amp,neck,23
dep,deb,0,vs,amp,neck,23
lam,limb,0,Vhl,lowfi,neck,23
leaky,leaky,1,Vhl,ctrl,neck,23
begun,begun,1,Vhl,amp,neck,23
rival,rival,1,vf,lowfi,neck,23
loose,lose,0,vf,lowfi,neck,23
teat,tat,0,Vhl,lowfi,neck,23
hearse,hers,0,vf,lowfi,neck,23
chap,chip,0,Vhl,amp,neck,23
swim,swam,0,Vhl,amp,neck,23
beseech,beseech,1,vf,lowfi,neck,23
refuse,refuse,1,vf,amp,neck,23
vast,vast,1,vf,ctrl,neck,23
bleat,bleed,0,vs,amp,neck,23
proof,proof,1,vf,ctrl,neck,23
chick,chick,1,Vhl,lowfi,hands,11
vendor,fender,0,vf,amp,hands,11
fleece,fleece,1,vf,ctrl,hands,11
zinc,zinc,1,vf,amp,hands,11
tomb,tomb,1,vs,lowfi,hands,11
file,file,1,vf,lowfi,hands,11
peach,peach,1,vs,amp,hands,11
done,done,1,vs,amp,hands,11
cob,cop,0,vs,amp,hands,11
Kay,Kay,1,vs,amp,hands,11
pant,pant,1,vs,lowfi,hands,11
sue,zoo,0,vf,ctrl,hands,11
trill,drill,0,vs,ctrl,hands,11
bought,bought,1,vs,lowfi,hands,11
belief,believe,0,vf,ctrl,hands,11
shack,shack,1,vf,ctrl,hands,11
deed,deed,1,Vhl,lowfi,hands,11
foot,fart,0,Vhl,ctrl,hands,11
mans,manse,0,vf,lowfi,hands,11
leek,league,0,vs,lowfi,hands,11
toot,tot,0,Vhl,amp,hands,11
heel,hull,0,Vhl,amp,hands,11
zips,zaps,0,Vhl,amp,hands,11
cookie,cookie,1,Vhl,lowfi,hands,11
boop,poop,0,vs,lowfi,hands,11
pay,bay,0,vs,lowfi,hands,11
bad,bad,1,vs,lowfi,hands,11
sap,zap,0,vf,amp,hands,11
proof,proof,1,Vhl,ctrl,hands,11
ease,ease,1,Vhl,ctrl,hands,11
bead,bad,0,Vhl,lowfi,hands,11
wafer,waiver,0,vf,ctrl,hands,11
dry,try,0,vs,lowfi,hands,11
weak,wack,0,Vhl,lowfi,hands,11
nip,knap,0,Vhl,amp,hands,11
tense,tens,0,vf,amp,hands,11
cherry,cherry,1,vf,amp,hands,11
lobe,lobe,1,vs,ctrl,hands,11
wink,wink,1,Vhl,ctrl,hands,11
fault,fault,1,vf,ctrl,hands,11
bard,Bart,0,vs,amp,hands,11
cheek,cheek,1,Vhl,ctrl,hands,11
pan,ban,0,vs,ctrl,hands,11
price,price,1,vf,amp,hands,11
by,by,1,vs,amp,hands,11
smock,smog,0,vs,ctrl,hands,11
dep,deb,0,vs,ctrl,hands,11
chain,chain,1,vf,ctrl,hands,11
beam,beam,1,Vhl,ctrl,hands,11
chap,chap,1,Vhl,lowfi,hands,11
pang,bang,0,vs,lowfi,hands,11
lug,lug,1,Vhl,amp,hands,11
buyers,buyers,1,vf,amp,hands,11
leaky,leaky,1,Vhl,amp,hands,11
paste,baste,0,vs,ctrl,hands,11
bus,bus,1,vf,lowfi,hands,11
pack,pack,1,vs,ctrl,hands,11
wiggle,wiggle,1,Vhl,lowfi,hands,11
cad,cad,1,vs,ctrl,hands,11
thigh,thigh,1,vf,lowfi,hands,11
fan,van,0,vf,lowfi,hands,11
dame,tame,0,vs,amp,hands,11
live,life,0,vf,ctrl,hands,11
add,at,0,vs,ctrl,hands,11
dab,tab,0,vs,amp,hands,11
shark,shark,1,Vhl,amp,hands,11
vetted,vetted,1,vf,lowfi,hands,11
bark,book,0,Vhl,amp,hands,11
lib,lip,0,vs,ctrl,hands,11
bead,bead,1,vs,ctrl,hands,11
meet,mutt,0,Vhl,amp,hands,11
loose,loose,1,Vhl,ctrl,hands,11
fret,fret,1,vs,lowfi,hands,11
damn,deem,0,Vhl,lowfi,hands,11
nook,nark,0,Vhl,ctrl,hands,11
peach,patch,0,Vhl,lowfi,hands,11
tale,dale,0,vs,ctrl,hands,11
beef,beef,1,Vhl,lowfi,hands,11
hard,hard,1,Vhl,amp,hands,11
fuzz,fuzz,1,vf,amp,hands,11
pat,pat,1,vs,amp,hands,11
town,town,1,vs,lowfi,hands,11
bar,bar,1,vs,ctrl,hands,11
rifle,rival,0,vf,lowfi,hands,11
deafen,Devon,0,vf,amp,hands,11
peter,patter,0,Vhl,ctrl,hands,11
focal,vocal,0,vf,ctrl,hands,11
pus,pus,1,Vhl,lowfi,hands,11
ice,ice,1,vf,ctrl,hands,11
pill,pill,1,Vhl,ctrl,hands,11
refuse,reviews,0,vf,ctrl,neck,11
fox,vox,0,vf,amp,neck,11
bleed,blood,0,Vhl,lowfi,neck,11
teens,teens,1,Vhl,amp,neck,11
swim,swam,0,Vhl,ctrl,neck,11
pile,bile,0,vs,amp,neck,11
tan,tan,1,vs,ctrl,neck,11
tick,tick,1,Vhl,amp,neck,11
clique,cluck,0,Vhl,amp,neck,11
rang,ring,0,Vhl,lowfi,neck,11
patty,batty,0,vs,ctrl,neck,11
dim,dim,1,Vhl,ctrl,neck,11
clod,clod,1,vs,lowfi,neck,11
toll,toll,1,vs,lowfi,neck,11
safe,safe,1,vf,ctrl,neck,11
begin,begin,1,Vhl,ctrl,neck,11
time,time,1,vs,ctrl,neck,11
limb,lam,0,Vhl,lowfi,neck,11
as,as,1,vf,amp,neck,11
besiege,beseech,0,vf,lowfi,neck,11
teach,touch,0,Vhl,ctrl,neck,11
glass,glass,1,vs,lowfi,neck,11
divine,define,0,vf,ctrl,neck,11
loop,lop,0,Vhl,lowfi,neck,11
streak,streak,1,Vhl,lowfi,neck,11
gait,kate,0,vs,ctrl,neck,11
badge,badge,1,vf,ctrl,neck,11
fail,fail,1,vf,ctrl,neck,11
slick,slick,1,Vhl,lowfi,neck,11
tug,tuck,0,vs,ctrl,neck,11
vast,fast,0,vf,lowfi,neck,11
hearse,hearse,1,vf,lowfi,neck,11
miss,mass,0,Vhl,ctrl,neck,11
Kremlin,gremlin,0,vs,lowfi,neck,11
sax,sax,1,Vhl,ctrl,neck,11
moose,moos,0,vf,amp,neck,11
kill,gill,0,vs,amp,neck,11
bed,bet,0,vs,lowfi,neck,11
pain,pain,1,vs,amp,neck,11
fence,fence,1,vf,ctrl,neck,11
pence,pence,1,vf,lowfi,neck,11
race,race,1,vf,lowfi,neck,11
teat,teat,1,Vhl,ctrl,neck,11
log,lock,0,vs,amp,neck,11
face,phase,0,vf,ctrl,neck,11
graph,grave,0,vf,amp,neck,11
vent,vent,1,vs,ctrl,neck,11
pee,pee,1,vs,amp,neck,11
fizz,viz,0,vf,amp,neck,11
teeth,teeth,1,vf,amp,neck,11
prod,prod,1,Vhl,lowfi,neck,11
trays,trays,1,vf,lowfi,neck,11
dream,drum,0,Vhl,amp,neck,11
bleat,bleat,1,vs,ctrl,neck,11
mean,mean,1,Vhl,amp,neck,11
cave,cave,1,vs,ctrl,neck,11
plank,plank,1,vs,ctrl,neck,11
cheer,jeer,0,vf,lowfi,neck,11
rig,rig,1,vs,amp,neck,11
zip,sip,0,vf,lowfi,neck,11
bin,bin,1,Vhl,amp,neck,11
proove,proof,0,vf,amp,neck,11
wife,wife,1,vf,lowfi,neck,11
jest,jest,1,vf,amp,neck,11
was,woos,0,Vhl,amp,neck,11
pin,bin,0,vs,lowfi,neck,11
loose,loose,1,vf,amp,neck,11
shelf,shelf,1,vf,amp,neck,11
should,should,1,Vhl,ctrl,neck,11
gat,gat,1,vs,amp,neck,11
calf,calf,1,vf,ctrl,neck,11
zach,zach,1,vf,lowfi,neck,11
seek,sack,0,Vhl,ctrl,neck,11
niece,niece,1,vf,amp,neck,11
lace,lace,1,vf,amp,neck,11
fairy,fairy,1,vf,lowfi,neck,11
chin,chin,1,vf,lowfi,neck,11
nap,nap,1,vs,lowfi,neck,11
boot,boot,1,vs,ctrl,neck,11
tram,tram,1,Vhl,amp,neck,11
neat,neat,1,Vhl,lowfi,neck,11
vat,vat,1,vf,amp,neck,11
soup,soup,1,Vhl,amp,neck,11
fat,fit,0,Vhl,lowfi,neck,11
pair,pair,1,vs,amp,neck,11
stop,stop,1,Vhl,lowfi,neck,11
cuz,cuz,1,vf,lowfi,neck,11
cod,cot,0,vs,amp,neck,11
Adam,Adam,1,vs,amp,neck,11
meat,meat,1,Vhl,lowfi,neck,11
class,class,1,vs,ctrl,neck,14
rig,rig,1,vs,amp,neck,14
bias,buyers,0,vf,lowfi,neck,14
refuse,refuse,1,vf,lowfi,neck,14
shark,shook,0,Vhl,amp,neck,14
trace,trays,0,vf,ctrl,neck,14
poop,boop,0,vs,lowfi,neck,14
save,save,1,vf,ctrl,neck,14
begun,begin,0,Vhl,lowfi,neck,14
vend,vent,0,vs,ctrl,neck,14
peach,peach,1,Vhl,ctrl,neck,14
gin,gin,1,vf,ctrl,neck,14
cot,cot,1,vs,amp,neck,14
bum,bum,1,Vhl,amp,neck,14
seek,seek,1,Vhl,ctrl,neck,14
fleece,fleece,1,vf,lowfi,neck,14
lop,loop,0,Vhl,lowfi,neck,14
deem,damn,0,Vhl,lowfi,neck,14
Devon,Devon,1,vf,amp,neck,14
fat,fat,1,vf,lowfi,neck,14
cheek,chuck,0,Vhl,amp,neck,14
bleed,bleed,1,vs,amp,neck,14
patter,peter,0,Vhl,amp,neck,14
lucky,lucky,1,Vhl,ctrl,neck,14
dream,dream,1,Vhl,ctrl,neck,14
tale,dale,0,vs,ctrl,neck,14
soup,sop,0,Vhl,ctrl,neck,14
shelf,shelf,1,vf,amp,neck,14
teeth,teeth,1,vf,amp,neck,14
stop,stop,1,Vhl,lowfi,neck,14
cuss,cuss,1,vf,amp,neck,14
batty,patty,0,vs,amp,neck,14
bay,pay,0,vs,lowfi,neck,14
sack,sack,1,vf,lowfi,neck,14
kill,gill,0,vs,ctrl,neck,14
fault,fault,1,vf,lowfi,neck,14
baste,baste,1,vs,ctrl,neck,14
beseech,besiege,0,vf,lowfi,neck,14
sax,sax,1,Vhl,lowfi,neck,14
shack,jack,0,vf,lowfi,neck,14
fairy,vary,0,vf,lowfi,neck,14
vendor,vendor,1,vf,lowfi,neck,14
fast,vast,0,vf,lowfi,neck,14
log,lock,0,vs,amp,neck,14
moos,moos,1,vf,ctrl,neck,14
proof,proove,0,vf,ctrl,neck,14
pee,bee,0,vs,lowfi,neck,14
pus,pus,1,Vhl,amp,neck,14
bead,bead,1,vs,lowfi,neck,14
laze,laze,1,vf,lowfi,neck,14
viz,fizz,0,vf,lowfi,neck,14
pan,ban,0,vs,ctrl,neck,14
bant,bant,1,vs,amp,neck,14
zinc,zinc,1,vf,lowfi,neck,14
jerry,jerry,1,vf,ctrl,neck,14
ice,ice,1,vf,ctrl,neck,14
batch,batch,1,vf,amp,neck,14
proof,proof,1,Vhl,lowfi,neck,14
grave,grave,1,vf,amp,neck,14
atom,atom,1,vs,ctrl,neck,14
pi,pi,1,vs,lowfi,neck,14
pain,pain,1,vs,ctrl,neck,14
knees,knees,1,vf,amp,neck,14
fuzz,fuzz,1,vf,ctrl,neck,14
fart,fart,1,Vhl,ctrl,neck,14
wiggle,waggle,0,Vhl,amp,neck,14
tuck,tug,0,vs,amp,neck,14
file,file,1,vf,lowfi,neck,14
wife,wife,1,vf,amp,neck,14
chip,chip,1,Vhl,lowfi,neck,14
chick,chuck,0,Vhl,ctrl,neck,14
calve,calve,1,vf,ctrl,neck,14
plank,plank,1,vs,lowfi,neck,14
man,man,1,Vhl,ctrl,neck,14
lip,lip,1,vs,ctrl,neck,14
pack,back,0,vs,lowfi,neck,14
price,price,1,vf,lowfi,neck,14
lope,lope,1,vs,amp,neck,14
vox,fox,0,vf,lowfi,neck,14
tick,tick,1,Vhl,ctrl,neck,14
dole,dole,1,vs,amp,neck,14
vocal,focal,0,vf,amp,neck,14
tan,tan,1,vs,ctrl,neck,14
sap,zap,0,vf,ctrl,neck,14
cluck,clique,0,Vhl,amp,neck,14
divine,divine,1,vf,lowfi,neck,14
belief,believe,0,vf,ctrl,neck,14
book,book,1,Vhl,ctrl,neck,14
nap,nap,1,vs,lowfi,neck,14
damn,dim,0,Vhl,lowfi,neck,14
mans,mans,1,vf,amp,hands,14
buff,beef,0,Vhl,amp,hands,14
slick,slack,0,Vhl,ctrl,hands,14
weak,wack,0,Vhl,lowfi,hands,14
limb,lam,0,Vhl,ctrl,hands,14
boot,booed,0,vs,ctrl,hands,14
cob,cop,0,vs,amp,hands,14
bun,bun,1,Vhl,amp,hands,14
mass,miss,0,Vhl,lowfi,hands,14
vetted,vetted,1,vf,lowfi,hands,14
rifle,rifle,1,vf,amp,hands,14
struck,struck,1,Vhl,lowfi,hands,14
bawd,bawd,1,vs,amp,hands,14
should,should,1,Vhl,amp,hands,14
bet,bet,1,vs,ctrl,hands,14
buzz,bus,0,vf,lowfi,hands,14
meat,meat,1,Vhl,ctrl,hands,14
pin,bin,0,vs,amp,hands,14
down,town,0,vs,amp,hands,14
dime,dime,1,vs,ctrl,hands,14
teat,teat,1,Vhl,ctrl,hands,14
ring,ring,1,Vhl,lowfi,hands,14
at,at,1,vs,ctrl,hands,14
life,live,0,vf,lowfi,hands,14
pal,pal,1,Vhl,ctrl,hands,14
fit,fit,1,Vhl,ctrl,hands,14
cat,cad,0,vs,lowfi,hands,14
deed,deed,1,Vhl,ctrl,hands,14
bard,bard,1,vs,amp,hands,14
deb,dep,0,vs,amp,hands,14
nip,knap,0,Vhl,lowfi,hands,14
fret,fret,1,vs,ctrl,hands,14
gat,cat,0,vs,amp,hands,14
bleed,bleed,1,Vhl,amp,hands,14
bad,bad,1,vs,amp,hands,14
drill,drill,1,vs,amp,hands,14
woos,woos,1,Vhl,lowfi,hands,14
clot,clod,0,vs,amp,hands,14
teach,teach,1,Vhl,ctrl,hands,14
bile,pile,0,vs,amp,hands,14
phase,face,0,vf,ctrl,hands,14
ass,as,0,vf,lowfi,hands,14
tomb,tomb,1,vs,lowfi,hands,14
fence,fens,0,vf,lowfi,hands,14
thy,thy,1,vf,amp,hands,14
teens,teens,1,Vhl,amp,hands,14
cheer,cheer,1,vf,amp,hands,14
cave,gave,0,vs,amp,hands,14
neat,neat,1,Vhl,ctrl,hands,14
dry,dry,1,vs,amp,hands,14
Kay,Kay,1,vs,amp,hands,14
loose,loose,1,vf,lowfi,hands,14
ton,done,0,vs,amp,hands,14
Jane,Jane,1,vf,amp,hands,14
ease,as,0,Vhl,lowfi,hands,14
toot,toot,1,Vhl,ctrl,hands,14
van,van,1,vf,amp,hands,14
cookie,cookie,1,Vhl,ctrl,hands,14
bang,bang,1,vs,ctrl,hands,14
zips,zaps,0,Vhl,amp,hands,14
tram,trim,0,Vhl,lowfi,hands,14
bad,bead,0,Vhl,lowfi,hands,14
jest,jest,1,vf,lowfi,hands,14
gremlin,Kremlin,0,vs,ctrl,hands,14
hearse,hearse,1,vf,amp,hands,14
par,par,1,vs,ctrl,hands,14
bare,bare,1,vs,amp,hands,14
wink,wank,0,Vhl,ctrl,hands,14
pence,pens,0,vf,ctrl,hands,14
vale,vale,1,vf,ctrl,hands,14
zip,sip,0,vf,ctrl,hands,14
kate,kate,1,vs,lowfi,hands,14
nark,nook,0,Vhl,lowfi,hands,14
leek,leek,1,vs,ctrl,hands,14
pat,pat,1,vs,lowfi,hands,14
dab,dab,1,vs,lowfi,hands,14
swim,swim,1,Vhl,ctrl,hands,14
hull,heel,0,Vhl,amp,hands,14
smog,smock,0,vs,lowfi,hands,14
loss,loss,1,Vhl,amp,hands,14
hard,hard,1,Vhl,amp,hands,14
wafer,waiver,0,vf,amp,hands,14
meet,mutt,0,Vhl,ctrl,hands,14
prod,prude,0,Vhl,ctrl,hands,14
sue,sue,1,vf,lowfi,hands,14
peach,peach,1,vs,lowfi,hands,14
race,race,1,vf,amp,hands,14
lug,league,0,Vhl,ctrl,hands,14
tame,tame,1,vs,amp,hands,14
tens,tens,1,vf,lowfi,hands,14
tons,teens,0,Vhl,lowfi,neck,16
define,divine,0,vf,lowfi,neck,16
Dan,Dan,1,vs,amp,neck,16
sink,zinc,0,vf,ctrl,neck,16
chip,chip,1,Vhl,lowfi,neck,16
fart,foot,0,Vhl,ctrl,neck,16
wive,wive,1,vf,amp,neck,16
neat,neat,1,Vhl,ctrl,neck,16
face,phase,0,vf,lowfi,neck,16
vat,fat,0,vf,amp,neck,16
swim,swim,1,Vhl,amp,neck,16
dime,time,0,vs,ctrl,neck,16
pay,bay,0,vs,lowfi,neck,16
fizz,fizz,1,vf,lowfi,neck,16
begin,begin,1,Vhl,lowfi,neck,16
bus,buzz,0,vf,lowfi,neck,16
sip,sip,1,vf,amp,neck,16
cat,cat,1,vs,amp,neck,16
meat,mat,0,Vhl,amp,neck,16
peach,peach,1,Vhl,lowfi,neck,16
boop,boop,1,vs,amp,neck,16
glass,glass,1,vs,amp,neck,16
tuck,tug,0,vs,ctrl,neck,16
ring,rang,0,Vhl,amp,neck,16
tack,tick,0,Vhl,amp,neck,16
price,price,1,vf,lowfi,neck,16
bias,bias,1,vf,ctrl,neck,16
beam,bum,0,Vhl,lowfi,neck,16
limb,limb,1,Vhl,amp,neck,16
bane,pain,0,vs,amp,neck,16
loss,loss,1,Vhl,ctrl,neck,16
was,woos,0,Vhl,lowfi,neck,16
tab,dab,0,vs,lowfi,neck,16
sue,sue,1,vf,ctrl,neck,16
bant,bant,1,vs,ctrl,neck,16
clique,cluck,0,Vhl,ctrl,neck,16
fox,fox,1,vf,amp,neck,16
fit,fit,1,Vhl,amp,neck,16
add,at,0,vs,ctrl,neck,16
Kay,Kay,1,vs,amp,neck,16
teach,teach,1,Vhl,lowfi,neck,16
vendor,fender,0,vf,lowfi,neck,16
refuse,refuse,1,vf,lowfi,neck,16
rick,rig,0,vs,amp,neck,16
toot,toot,1,Vhl,amp,neck,16
dim,dim,1,Vhl,lowfi,neck,16
fetid,fetid,1,vf,amp,neck,16
bang,pang,0,vs,ctrl,neck,16
try,try,1,vs,amp,neck,16
fleas,fleas,1,vf,ctrl,neck,16
dep,dep,1,vs,amp,neck,16
miss,miss,1,Vhl,amp,neck,16
wiggle,waggle,0,Vhl,ctrl,neck,16
vend,vend,1,vs,lowfi,neck,16
cot,cot,1,vs,lowfi,neck,16
struck,struck,1,Vhl,amp,neck,16
tomb,tomb,1,vs,amp,neck,16
zach,zach,1,vf,ctrl,neck,16
peed,peed,1,vs,ctrl,neck,16
knap,knap,1,Vhl,amp,neck,16
bought,bawd,0,vs,lowfi,neck,16
hearse,hearse,1,vf,lowfi,neck,16
calf,calve,0,vf,amp,neck,16
manse,mans,0,vf,lowfi,neck,16
blank,plank,0,vs,ctrl,neck,16
focal,vocal,0,vf,amp,neck,16
prof,prof,1,Vhl,lowfi,neck,16
live,live,1,vf,amp,neck,16
proof,proove,0,vf,amp,neck,16
bin,bin,1,vs,ctrl,neck,16
clot,clot,1,vs,amp,neck,16
cherry,cherry,1,vf,lowfi,neck,16
dad,dad,1,Vhl,amp,neck,16
toll,dole,0,vs,lowfi,neck,16
moose,moose,1,vf,ctrl,neck,16
zips,zips,1,Vhl,amp,neck,16
laze,laze,1,vf,lowfi,neck,16
teethe,teethe,1,vf,ctrl,neck,16
fairy,vary,0,vf,lowfi,neck,16
safe,save,0,vf,ctrl,neck,16
fast,fast,1,vf,ctrl,neck,16
by,by,1,vs,lowfi,neck,16
bead,bad,0,Vhl,ctrl,neck,16
deem,damn,0,Vhl,ctrl,neck,16
deafen,Devon,0,vf,ctrl,neck,16
wink,wank,0,Vhl,ctrl,neck,16
pill,pal,0,Vhl,lowfi,neck,16
lobe,lobe,1,vs,ctrl,neck,16
heel,hull,0,Vhl,ctrl,neck,16
fault,vault,0,vf,lowfi,neck,16
mutt,meet,0,Vhl,amp,hands,16
fan,van,0,vf,ctrl,hands,16
nook,nook,1,Vhl,ctrl,hands,16
shark,shark,1,Vhl,ctrl,hands,16
bed,bed,1,vs,lowfi,hands,16
peter,patter,0,Vhl,amp,hands,16
tale,tale,1,vs,amp,hands,16
chest,jest,0,vf,lowfi,hands,16
fence,fence,1,vf,ctrl,hands,16
drill,trill,0,vs,ctrl,hands,16
slick,slack,0,Vhl,lowfi,hands,16
niece,knees,0,vf,amp,hands,16
trace,trays,0,vf,lowfi,hands,16
bun,bin,0,Vhl,amp,hands,16
cat,cat,1,vs,lowfi,hands,16
shelve,shelf,0,vf,ctrl,hands,16
pile,pile,1,vs,ctrl,hands,16
six,sax,0,Vhl,amp,hands,16
boot,boot,1,vs,amp,hands,16
leaky,leaky,1,Vhl,ctrl,hands,16
shack,shack,1,vf,ctrl,hands,16
Kremlin,gremlin,0,vs,lowfi,hands,16
fret,fret,1,vs,lowfi,hands,16
soup,soup,1,Vhl,ctrl,hands,16
batch,badge,0,vf,lowfi,hands,16
cheek,cheek,1,Vhl,ctrl,hands,16
zap,zap,1,vf,ctrl,hands,16
pee,bee,0,vs,ctrl,hands,16
league,lug,0,Vhl,ctrl,hands,16
bare,bare,1,vs,amp,hands,16
chick,chick,1,Vhl,lowfi,hands,16
shard,should,0,Vhl,ctrl,hands,16
loop,lop,0,Vhl,amp,hands,16
nap,nab,0,vs,lowfi,hands,16
prude,prod,0,Vhl,amp,hands,16
pan,pan,1,vs,amp,hands,16
cop,cop,1,vs,ctrl,hands,16
league,league,1,vs,amp,hands,16
book,bark,0,Vhl,ctrl,hands,16
fail,fail,1,vf,ctrl,hands,16
paste,paste,1,vs,ctrl,hands,16
batty,batty,1,vs,amp,hands,16
trim,trim,1,Vhl,amp,hands,16
cookie,khaki,0,Vhl,amp,hands,16
cheer,jeer,0,vf,lowfi,hands,16
raze,race,0,vf,lowfi,hands,16
pence,pence,1,vf,amp,hands,16
rifle,rival,0,vf,ctrl,hands,16
smock,smog,0,vs,lowfi,hands,16
mean,mean,1,Vhl,ctrl,hands,16
bar,bar,1,vs,ctrl,hands,16
peach,peach,1,vs,amp,hands,16
ass,ass,1,vf,ctrl,hands,16
cuz,cuz,1,vf,lowfi,hands,16
lose,lose,1,vf,amp,hands,16
ice,eyes,0,vf,lowfi,hands,16
bat,pat,0,vs,amp,hands,16
gill,kill,0,vs,ctrl,hands,16
as,ease,0,Vhl,ctrl,hands,16
tame,tame,1,vs,amp,hands,16
Jane,Jane,1,vf,ctrl,hands,16
tense,tens,0,vf,amp,hands,16
bleat,bleat,1,vs,lowfi,hands,16
down,town,0,vs,lowfi,hands,16
done,done,1,vs,amp,hands,16
lock,log,0,vs,lowfi,hands,16
gave,gave,1,vs,amp,hands,16
lip,lip,1,vs,lowfi,hands,16
bat,bat,1,vs,lowfi,hands,16
drum,drum,1,Vhl,ctrl,hands,16
weak,weak,1,Vhl,amp,hands,16
sack,seek,0,Vhl,lowfi,hands,16
file,file,1,vf,amp,hands,16
waiver,wafer,0,vf,lowfi,hands,16
hard,hood,0,Vhl,ctrl,hands,16
stop,stop,1,Vhl,lowfi,hands,16
thy,thigh,0,vf,ctrl,hands,16
teat,teat,1,Vhl,amp,hands,16
blood,blood,1,Vhl,ctrl,hands,16
gait,gait,1,vs,amp,hands,16
beseech,besiege,0,vf,lowfi,hands,16
buff,beef,0,Vhl,ctrl,hands,16
fuss,fuzz,0,vf,lowfi,hands,16
believe,belief,0,vf,lowfi,hands,16
chin,gin,0,vf,lowfi,hands,16
atom,Adam,0,vs,ctrl,hands,16
back,pack,0,vs,lowfi,hands,16
Bart,bard,0,vs,amp,hands,16
peace,peace,1,Vhl,lowfi,hands,16
grave,grave,1,vf,lowfi,hands,16
cad,cad,1,vs,lowfi,neck,6
clique,cluck,0,Vhl,ctrl,neck,6
gill,gill,1,vs,amp,neck,6
as,as,1,Vhl,ctrl,neck,6
trim,tram,0,Vhl,lowfi,neck,6
tan,tan,1,vs,amp,neck,6
pant,pant,1,vs,lowfi,neck,6
gnat,gnat,1,Vhl,ctrl,neck,6
cob,cob,1,vs,amp,neck,6
at,at,1,vs,lowfi,neck,6
rig,rig,1,vs,ctrl,neck,6
ice,eyes,0,vf,ctrl,neck,6
save,save,1,vf,lowfi,neck,6
trill,trill,1,vs,ctrl,neck,6
divine,divine,1,vf,lowfi,neck,6
knees,knees,1,vf,lowfi,neck,6
badge,batch,0,vf,lowfi,neck,6
blood,blood,1,Vhl,ctrl,neck,6
wiggle,wiggle,1,Vhl,amp,neck,6
waiver,waiver,1,vf,lowfi,neck,6
proof,proof,1,Vhl,ctrl,neck,6
shelve,shelve,1,vf,amp,neck,6
was,was,1,Vhl,ctrl,neck,6
lobe,lobe,1,vs,amp,neck,6
shack,shack,1,vf,lowfi,neck,6
fault,fault,1,vf,ctrl,neck,6
mat,mat,1,Vhl,lowfi,neck,6
fender,fender,1,vf,ctrl,neck,6
dep,deb,0,vs,ctrl,neck,6
lucky,leaky,0,Vhl,lowfi,neck,6
clod,clod,1,vs,lowfi,neck,6
loose,loose,1,vf,ctrl,neck,6
fart,fart,1,Vhl,ctrl,neck,6
Devon,Devon,1,vf,amp,neck,6
teethe,teethe,1,vf,lowfi,neck,6
fizz,fizz,1,vf,ctrl,neck,6
prod,prod,1,Vhl,lowfi,neck,6
fox,fox,1,vf,amp,neck,6
pay,pay,1,vs,ctrl,neck,6
time,time,1,vs,ctrl,neck,6
sop,sop,1,Vhl,lowfi,neck,6
batty,batty,1,vs,amp,neck,6
pee,pee,1,vs,ctrl,neck,6
back,back,1,vs,amp,neck,6
town,town,1,vs,ctrl,neck,6
peed,peed,1,vs,amp,neck,6
tuck,tuck,1,vs,ctrl,neck,6
jest,jest,1,vf,amp,neck,6
cuss,cuss,1,vf,lowfi,neck,6
boot,boot,1,vs,lowfi,neck,6
Jane,Jane,1,vf,amp,neck,6
vend,vend,1,vs,amp,neck,6
pal,pal,1,Vhl,lowfi,neck,6
cave,cave,1,vs,lowfi,neck,6
peach,peach,1,vs,ctrl,neck,6
